age,gender,study_hours_per_day,sleep_hours,social_media_hours,gaming_hours,exercise_minutes,assignments_completed,attendance_percentage,stress_level,productivity_score
19,Female,3.8,4.61,2.97,0.54,66,7,62.86,6,33.07
17,Male,7.96,8.86,0.5,5.85,112,13,83.09,7,59.44
20,Male,6.85,9.44,6.21,3.42,40,16,65.56,10,52.53
18,Male,0.55,7.94,4.82,1.34,118,17,45.37,4,34.07
24,Male,8.72,4.13,4.65,2.38,27,12,47.19,4,70.89
20,Female,4.27,3.65,5.26,2.82,95,10,66.84,5,31.49
18,Male,6.63,6.77,5.31,0.5,99,0,89.31,2,53.44
22,Female,4.27,6.85,2.82,4.15,4,11,55.97,5,65.22
22,Male,8.87,7.47,2.2,5.42,57,8,72.38,6,70.49
26,Female,6.68,9.34,2.38,5.21,75,16,78.98,7,76.09
20,Female,6,7.53,6.49,2.6,113,7,96.03,4,52.74
22,Female,9.81,9.41,1.36,0.1,29,19,67.86,1,89.91
29,Female,3.17,3.82,3.89,5.88,1,18,60.05,8,34.07
18,Female,1.12,7.96,5.01,0.51,70,16,76.14,6,30.86
26,Male,5.4,9.49,4.13,4.58,94,18,57.81,10,34.47
28,Female,4.53,6.24,4.43,1.85,68,1,62.71,10,24.44
18,Female,4.82,9.77,6.71,5.33,24,1,64.13,2,68.65
26,Female,6.39,6.87,2.64,5.43,52,14,65.34,3,46
20,Female,6.34,9.6,2.77,2.26,110,12,48.14,7,54.53
24,Female,4.23,8.24,1.33,2.06,109,14,46.38,3,60.05
23,Male,8.7,6.2,6,5.42,80,9,64.74,5,81.19
28,Female,6.69,3.24,1.66,4,56,14,44.73,5,43.55
25,Male,8.95,7.6,4.16,0.12,29,6,67.26,3,61.03
24,Male,9.17,4.78,6.83,0.63,93,6,96.71,3,72.59
21,Female,2.09,5.02,0.79,0.73,26,10,74.98,1,37.03
29,Male,6.97,3.14,1.35,5.99,54,8,40.64,8,38.29
18,Male,3.52,6.9,1.47,1.86,42,10,69.4,6,39.5
21,Female,8.45,5.03,1.08,1.07,90,18,46.6,1,76
24,Female,7.46,9.88,7.56,5.83,28,2,68.01,9,66.13
26,Female,2.39,8.24,5.92,2.13,21,2,98.46,6,50.18
25,Female,9.42,5.5,3.64,1.27,46,11,96.86,3,56.71
28,Other,6.99,5.06,2.38,4.4,95,8,65.43,2,58.87
28,Male,9.51,8,0.92,4.64,118,11,95.38,4,72.82
28,Female,2.42,4.78,0.19,5.21,105,1,43.82,6,17.82
29,Male,8.76,6.14,5.2,0.7,75,13,49.25,7,55.27
25,Male,6.85,4.12,4.04,1.4,32,0,51.51,3,54.76
29,Female,5.75,4.78,4.74,5.11,68,11,43.21,1,39.49
29,Female,8.29,3.69,1.34,4.4,82,7,76.88,9,46.21
17,Male,6.51,5.99,4.71,4.17,33,13,74.84,4,70.71
25,Male,6.86,9.49,1.64,3.74,48,18,74.92,7,72.47
23,Female,2.91,3.71,0.33,5.31,27,10,55.74,4,38.44
25,Female,8.26,6.06,6.98,2.12,98,19,79.28,5,46.21
24,Female,6.68,5.09,6.62,4.74,13,19,42.89,8,56.07
17,Male,8.52,5.54,4.71,2.09,69,1,53.73,8,49.37
28,Female,3.84,8.4,7.32,4.76,110,19,96.94,3,56.8
24,Male,3.65,6.05,6.18,0.85,81,0,40.88,5,21.91
24,Male,0.73,7.55,2.2,3.79,20,7,47.51,1,28.84
27,Female,7.8,9.81,7.32,1.54,104,14,98.22,7,71.71
19,Female,3.64,7.32,3.11,1.44,47,1,88.44,7,50.89
17,Male,3.61,5.36,7.87,0.16,68,8,82.87,8,43.8
24,Male,7.04,5.78,5.58,5.38,32,9,97.36,3,66.98
19,Female,2.9,7.87,1.67,4.24,69,15,50.63,1,52.09
19,Male,9.14,7.86,3.16,5.2,22,14,67.77,8,62.61
17,Male,5.61,5.58,5.32,4.75,64,11,50.49,5,45.94
27,Male,9.71,8.07,6.31,2.37,29,19,84.48,10,70.43
21,Male,1.23,6.85,4.61,4.33,19,14,91,7,28.43
26,Male,3.7,9.86,5.92,0.56,60,7,91.72,1,67.11
23,Female,4.12,9.36,3.85,4.25,70,17,65.74,4,46.33
26,Female,7.44,8.77,2.28,5.56,76,17,87.44,6,70.94
25,Female,2.52,3.24,5.64,5.63,64,16,97.39,7,19.66
28,Female,4.07,5.66,6.6,1.51,61,18,77.13,2,57.37
23,Female,9.15,7.01,2.54,3.22,115,0,91.17,5,70.29
25,Female,1.59,6.65,3.42,0.9,77,8,86.55,8,23
24,Female,7.58,8.34,2.7,3.87,44,5,59.12,3,61.96
28,Male,7.17,9.36,1.16,1.77,118,1,94.79,1,70.91
18,Female,1.74,8.51,6.13,2.91,1,5,90.64,2,40.11
17,Male,7.04,4.54,4.08,0.32,81,13,54.44,3,49.24
23,Female,5.91,6.4,1.3,1.97,94,2,44.49,2,49.41
23,Female,3.23,5.76,2.77,5.8,59,16,70.56,5,33.8
24,Female,3.46,8.36,5.93,4.24,119,17,52.1,10,35.07
21,Female,8.41,9.27,3.03,1.39,119,12,69.54,3,78.08
19,Male,2.69,5.01,0.57,0.21,81,11,92.56,8,39.51
28,Male,5.37,6.42,0.84,4,119,16,44.28,1,45.43
24,Male,6.97,8.12,7.98,5.53,112,2,48.63,3,59.16
22,Male,1.73,3.35,3.42,3.51,116,6,50.3,4,23.03
27,Male,9.36,9.74,5.09,2.59,45,8,90.29,9,69.76
19,Male,2.98,8.6,4.95,4.96,86,4,45.22,5,39.11
17,Male,3.53,6.8,1.33,3.06,73,16,58.65,10,55.59
19,Other,6.83,8.45,3.19,5.33,15,6,42.32,6,49.65
21,Male,1.24,8.85,5.72,3.99,7,0,86.34,4,32.62
19,Male,6.46,6.46,3.4,0.29,86,6,78.45,9,47.27
17,Male,9.2,6.08,4.71,3.72,0,18,51.05,8,61.4
21,Female,2.87,8.86,2.97,2.44,89,4,53.83,8,52.29
26,Male,3.94,9.02,2.12,3.05,2,18,47.1,1,54.56
23,Female,2.71,3.87,0.15,3.76,49,8,70.78,9,30.24
23,Male,8.28,9.35,3.39,4.87,82,16,45.91,10,61.42
27,Female,2.09,4.94,3.17,1.27,112,6,50.05,6,42.53
25,Female,3.79,7.67,3.68,2.27,56,5,69.82,7,28.25
26,Male,6.21,7.97,0.05,0.78,111,19,84.07,10,61.43
26,Male,4.34,4.96,4.14,3.04,83,1,56.89,9,32.77
28,Male,1.12,5.13,0.94,3.61,61,3,53.41,6,14.46
29,Female,9.5,7.94,3.97,0.34,35,6,85.28,5,66.42
19,Male,3.71,4.23,2.74,2.66,112,3,55.17,8,16.53
23,Female,4.73,9.01,0.35,1.4,79,1,81.48,4,60.56
17,Female,2.09,4.56,1.32,3.26,6,8,70.95,8,25.33
20,Female,8.72,5.46,2.06,3.73,12,1,70.36,4,52.96
29,Male,3.27,4.87,1.87,3.82,20,16,68.94,1,42.44
20,Male,0.69,4.72,4.83,0.1,11,10,44.76,7,19.31
21,Female,3.51,9.85,0.35,2.2,90,8,97.96,1,61.4
23,Female,9.85,4.77,3.55,2.93,49,2,68.01,2,62.17
23,Other,1.9,7.05,6.53,4.31,43,1,65.17,3,44.58
29,Female,0.8,8.22,2.28,0.45,15,19,45.66,1,37.55
27,Female,5.99,3.29,4.84,5.55,6,4,64.8,6,38.12
29,Female,4.03,9.17,7.38,0.38,18,14,84.73,3,52.04
20,Female,8.05,4.07,6.31,0.51,56,2,52.46,3,54.7
29,Male,7.45,7.12,6.65,1.64,94,12,80.27,9,51.19
23,Female,2.26,7.49,3.5,2.46,44,14,84.89,8,35.18
27,Male,5.86,7.41,0.67,0.33,36,6,77.38,2,63.74
19,Male,0.81,8.13,3.89,0.55,78,19,98.56,9,30.77
22,Female,4.68,9.52,0.58,4.9,20,13,66.29,10,41.38
28,Male,7.28,9.49,3.98,1.61,97,5,58.43,2,60.85
18,Male,4.44,7.05,3.98,5.61,104,3,42.08,2,56.12
26,Male,1.62,5.59,6.54,3.1,18,17,54.8,3,41.54
29,Female,1.08,5.25,4.37,5.43,31,5,82.3,3,25.2
25,Female,8.61,9.21,0.81,4.64,10,19,58.35,8,68.95
21,Female,8.97,8.97,3.66,1.08,114,4,58.51,2,64.17
22,Male,3.76,5.07,5.86,4.72,65,15,82.53,1,59.61
28,Male,2.06,4.07,0.83,2.7,63,5,74.69,5,28.7
28,Male,9.8,9.03,3.92,2.14,49,12,65.86,1,80.82
28,Male,5.69,7.26,4.04,2.42,96,18,43.6,3,53.71
28,Female,5.03,5.19,7.45,0.39,83,9,48.08,6,42.76
20,Male,7.55,7.27,6.22,5.9,60,0,67.25,6,60.54
27,Male,2.1,3.46,1.96,2.13,61,11,75.35,5,39.08
26,Male,6.01,4.33,6.46,4.11,41,9,63.81,1,33.46
23,Male,8.96,6.82,3.43,5.73,39,1,54.2,1,64.45
28,Male,0.72,6.77,3.99,2.6,55,1,90.55,3,40.52
25,Female,6.89,4.73,2.96,3.61,28,15,83.12,10,59.21
23,Female,5.74,9.87,0.73,5.17,113,3,94.18,8,61.31
17,Female,9.53,5.89,7.92,1.74,89,18,95.05,9,79.06
17,Female,2.96,7.96,0.69,1,73,12,79.32,7,31.86
25,Male,8.66,4.81,0.67,0.3,1,3,63.66,3,66.93
27,Female,3.44,5.97,0.96,1.57,25,17,68.56,3,40.04
25,Female,4.58,8.82,2.21,1.79,63,16,43.89,5,43.42
20,Male,2.53,8.94,4.36,4.01,84,18,46.98,4,39.23
29,Female,8.7,3.95,6.2,3.24,112,19,55.66,4,55.99
25,Female,2.36,5.48,6.11,1.58,101,8,50,5,43.96
19,Male,8.66,4.42,4.02,5.1,4,4,46.99,6,50.72
23,Female,4.83,9.23,6.77,3.35,17,14,67.07,2,55.82
22,Female,8.43,8.28,0.17,0.06,30,15,72.39,7,73.31
24,Female,3.01,6.94,0.32,0.03,89,15,89.17,1,56.31
27,Female,1.76,7.55,5.17,3.1,94,18,70.74,4,36.14
25,Male,5.77,9.4,3.72,4.4,11,9,68.43,1,60.87
21,Male,5.34,5.12,4.04,0.27,90,15,59.29,5,50.12
17,Female,3.89,3.1,1.74,4.86,0,4,88.22,9,40.8
19,Female,6.8,3.18,6.7,0.51,66,2,80.22,1,51.79
26,Female,1.4,3.33,4.03,4.7,10,18,50.76,5,23.7
28,Male,6.41,3.9,1.69,0.03,92,15,71.85,9,46.36
24,Male,2.51,7,1.11,2.23,3,4,49.54,1,42.92
27,Male,1.73,9.87,7.96,2.45,103,19,82.4,10,25.16
22,Male,9.14,5.94,5.82,4.95,67,12,58.59,9,49.33
24,Male,4.87,7.99,4.26,0.91,23,4,71.51,10,29.35
25,Male,7.75,8.55,4.53,0.86,110,1,40.99,8,74.37
20,Male,1.35,8.61,0.88,5.99,50,2,91.54,4,62.42
17,Male,1.05,6.1,5.77,1.75,41,10,63.74,7,27.27
17,Male,5.2,6.85,7.35,3.93,86,3,41.07,1,42.88
26,Other,3.5,5.3,7.18,2.19,8,12,44.34,3,41.2
20,Female,0.55,7.82,6.3,0.79,71,3,88.38,10,30.88
28,Male,2.24,5.68,5.22,0.47,90,7,87.12,4,31.27
23,Female,2.58,5.18,2.14,0.85,105,7,47.95,1,45.59
18,Female,3.24,7.39,2.76,4.33,61,2,83.02,9,36.01
19,Female,8.84,5.39,6.65,5.31,107,2,72.73,9,66.15
17,Male,4.5,5.86,5.73,5.57,8,0,85.49,3,56.49
21,Male,6.95,7.98,7.92,0.04,95,9,56.13,3,62.53
17,Female,0.67,8.97,0.68,3.06,5,6,44.29,3,49.53
24,Male,8.23,6.04,2.78,3.01,49,18,48.78,5,56.53
17,Female,2.78,6.66,7.04,0.85,104,0,96.06,5,38.79
27,Female,3.44,8.22,0.21,3.54,22,0,53.95,3,38.11
17,Other,0.93,4.57,2.69,3.1,12,5,97.26,10,33.96
18,Male,4.39,5.91,7.79,5.61,58,2,68.68,8,33.11
18,Male,8.6,8.68,4.37,0.32,3,19,66.9,7,73.95
28,Male,4.1,9.26,2.47,3.59,17,8,98.13,3,56
22,Female,9.13,7.51,7.44,0.04,82,14,52.46,7,69.92
23,Male,8.74,5.75,2.78,3.01,89,3,82.68,4,66.04
21,Female,1.09,7.24,1.07,5.13,100,6,47.43,3,28.31
17,Male,3.4,4.25,4.63,2.8,83,6,92.17,8,32.26
17,Male,9.15,3.21,5.71,3.1,16,0,42.54,8,48.73
19,Male,0.78,3.52,0.63,1.45,90,1,86.24,2,30.52
18,Female,7.78,3.76,4.98,1.87,85,17,55.01,9,56.28
21,Female,9.11,4.58,2.97,3.48,64,17,75.86,3,60.96
28,Male,7.82,6.23,1,0.65,52,19,91.27,2,62.47
26,Female,7.57,4.63,5.09,2.03,16,6,84.19,4,61.11
22,Female,8.51,7.1,2.15,0.51,86,10,97.5,9,68.18
23,Female,6.83,9.99,1.36,5.3,5,6,91.19,9,59.06
20,Female,4.52,6.49,0.75,3.34,16,19,64.95,2,47.03
23,Male,1.1,8.3,3.21,3.16,47,11,62.48,2,48.93
27,Male,7.99,5.05,4.97,4.42,64,18,85.73,2,76.53
24,Female,9.1,9.74,7.8,0.18,78,13,57.47,2,88.33
27,Male,5.36,4.74,2.7,4.36,106,8,61.88,5,43.16
17,Male,5.56,7.18,4.9,5.52,103,2,90.73,5,54.45
22,Male,4.33,9.88,0.94,5.28,105,15,48.03,2,74.26
24,Female,8.64,8.66,7.49,1,97,18,41.32,7,74.25
21,Male,0.64,9.94,5.93,1.92,35,3,97.19,5,41.33
20,Female,6.43,5.66,5.69,0.74,77,0,52.98,7,50.72
18,Male,9.12,3.54,4.38,3.01,28,13,48.83,6,60.52
22,Other,1.48,4.7,4.51,1.42,102,13,75.3,1,43.6
22,Male,9.61,9.7,3.57,0.98,93,7,93.65,2,68.71
27,Female,9.69,5.59,0.37,1.54,92,12,63.7,10,73.01
17,Female,9.33,3.87,0.56,3.34,28,11,81.3,9,52.05
25,Female,4.89,7.15,1.54,2.58,97,12,77.68,2,65.23
28,Male,4.14,6.5,1.51,0.45,91,2,64.71,4,47.38
27,Female,7.21,3.44,0.46,2.63,23,0,45.29,3,38.21
22,Male,3.53,6.17,3.97,1.83,76,12,95.66,8,39.99
29,Male,1.15,7.43,4.07,5.87,44,9,98.71,1,37.26
19,Female,9.06,4.63,4.8,4.22,59,19,72.77,5,53.57
20,Female,6.53,3.87,6.3,2.21,55,7,47.24,6,40.81
28,Female,2.47,9.05,7.49,0.72,18,10,82.57,8,53.37
27,Female,0.67,7.38,7.58,0.36,55,2,43.93,5,33.35
20,Male,7.37,4.09,7.2,3.87,38,12,75.54,6,49.77
19,Female,8.6,7.4,5.93,0.44,36,4,69.3,2,72.03
26,Male,4.35,8.15,5.36,4.41,109,11,43.12,4,44.23
19,Female,1.27,7.18,0.94,0.68,68,0,49.23,6,41
19,Female,6.66,3.81,5.25,0.31,119,6,48.31,2,65.07
20,Female,3.32,3.87,1.26,5.93,119,8,82.63,5,36.63
23,Male,1.87,3.32,5.96,5.77,75,16,85.8,1,31.22
20,Female,5.35,4.64,1.3,3.45,70,1,45.94,10,25.58
25,Male,5.08,3.42,5.45,5.47,119,6,61.02,1,51.45
17,Male,5.41,8.64,0.58,5.83,22,14,47.74,6,60.47
24,Male,8.33,3.11,2.51,2.66,54,13,95.01,10,56.4
23,Female,5.1,7.07,2.99,0.06,32,8,43.55,4,48.72
18,Male,9.06,8.67,2.51,3.72,94,4,64.18,5,85.4
24,Male,8.5,9.26,2.49,2.39,38,3,54.44,8,75.86
17,Male,6.69,5.87,4.26,4.04,67,19,96.18,9,57.12
27,Male,1.04,7.35,6.59,1.07,1,14,92.6,2,39.91
28,Female,8.72,9.66,6.99,5.92,84,14,61.45,2,59.39
25,Female,9.1,7.7,0.59,4.62,66,1,66.09,2,73.97
25,Male,4.06,9.31,1.54,1.77,18,17,45.48,6,62.86
18,Female,5.5,7.79,2.47,4.63,0,12,63.86,7,68.22
23,Female,3.17,3.48,5.47,5.11,107,19,73.18,3,34.26
26,Female,0.64,4.38,3.22,2.96,23,15,62.26,5,20.39
19,Female,5.05,9.58,3.81,2.44,31,2,45.09,4,39.25
23,Male,1.73,8.91,6.28,1.42,58,4,52.8,10,25.42
28,Female,2.24,5.96,5.14,5.01,90,5,56.07,5,44.99
26,Male,5.07,4.13,4.7,2.46,45,13,86.22,3,58.13
25,Male,8.74,4.1,4.64,4.79,108,10,52.2,7,45.43
20,Female,8.52,9.33,1.59,5.24,2,9,81.46,6,71.27
28,Female,9.67,4.16,0.89,3.32,88,2,58.81,6,56.15
17,Male,5.09,5.7,2.61,1.05,114,14,46.65,3,39.84
18,Male,5.74,9.31,6.15,0.23,112,14,70.11,3,67.01
17,Female,8.31,3.23,6.83,4.24,5,1,89.51,3,53.63
28,Female,7.15,7.42,6.38,5.16,105,5,58.24,6,51.85
21,Female,2.24,5.45,1.26,5.19,33,10,75.26,2,28.79
21,Male,4.28,3.75,7.35,2.14,46,6,89.65,8,30.24
27,Female,9.33,6.97,3.1,1.27,1,3,56.03,1,73.1
23,Male,1.89,6.39,6.7,0.35,81,4,45.51,6,32.46
25,Male,2.49,3.69,5.01,1.39,109,3,53.49,5,25.75
25,Male,4.31,4.87,6.35,1.55,89,16,91.49,2,54.39
19,Female,9.43,8.18,0.24,3.51,51,8,59.7,8,76.53
19,Female,1.58,8.29,3.48,1.43,79,16,50.63,8,38.78
19,Female,6.89,7.19,4.85,1.44,88,7,70.26,9,52.12
20,Female,1.76,3.77,2.96,2.07,39,19,77.08,7,34.84
24,Male,5.48,8.97,6.32,3.95,54,17,67.74,5,50.5
22,Male,5.6,4.21,5.79,2.39,67,3,59.44,9,50.06
24,Male,0.9,8.05,3.12,4.39,77,19,69.53,2,29.22
17,Female,9.56,3.3,3.51,2.6,3,13,94.2,2,73.12
24,Female,8.16,5.32,3.93,4.77,2,1,78.84,9,72.25
20,Other,3.38,6.35,4.36,2.76,56,11,65.88,9,50.99
27,Female,1.74,3.2,2.39,4.91,38,3,88.88,8,27.7
17,Female,3.78,4.2,1.83,5.05,107,11,40.12,4,32.73
24,Female,9,5.23,0.9,4.63,68,5,51.79,1,75.34
20,Female,1.76,9.88,1.12,3.21,65,4,72.26,1,58.59
22,Female,3.82,8.46,3.74,3.85,50,14,79.34,1,63.74
24,Female,5.2,8.88,5.32,0.13,66,1,69.55,3,56.62
20,Female,0.81,7.67,5.33,1.69,17,16,79.04,5,38.69
19,Female,3.05,5.05,3.65,2.41,66,3,76.69,10,39.12
25,Male,6.16,7.97,4.95,0.32,107,19,73.88,6,50.09
19,Male,3.58,7.72,7.67,4.95,2,4,48.67,9,29.03
25,Male,8.77,7.27,7.86,1.65,24,6,66.53,5,61.96
29,Male,9.4,5.09,6.76,1.06,58,8,66.38,9,59.17
18,Female,4.69,4.84,7.32,5.53,71,12,53.72,4,33.55
18,Male,5.55,5.35,1.09,0.04,101,7,93.68,5,41.09
18,Male,6.49,5.19,2.23,4.27,95,12,92.77,2,59.96
22,Male,6.81,3.54,7.63,0.25,90,4,58.13,4,51.06
19,Female,1.1,8.62,1.04,2.08,5,15,53.07,4,42.81
29,Male,1.01,5.58,7,1.67,26,1,63.52,3,35.81
25,Male,8.72,7.95,3.51,2.51,3,1,42.07,7,77.21
20,Male,2.59,4.96,7.8,1.94,9,16,93.83,5,42.28
17,Male,6.05,7.21,5.73,4.36,63,13,51.48,8,44.03
20,Female,6.43,3.24,2.7,3.81,19,12,53.44,7,53.5
17,Male,2.06,3.74,0.94,3.03,16,1,66.94,5,41.22
21,Female,7.74,5.55,1.91,2.14,76,0,74.65,6,50.26
20,Female,8.73,4.88,5.63,0.44,71,7,66.34,7,64.8
24,Other,3.21,5.47,2.57,3.83,98,17,70.16,2,32.62
24,Male,8.84,9.51,7.59,1.58,91,11,92.44,4,64.93
23,Male,1.27,3.52,4.28,1.46,29,15,88.97,9,28.97
19,Male,8.1,6.24,4.2,4.51,101,9,40.66,5,67.27
17,Male,6.58,4.39,6.46,1.81,58,15,68.98,5,35.96
17,Female,6.04,5.49,6.38,4.45,109,2,84.21,4,64.24
28,Male,2.69,7.74,5.5,4.5,38,3,81.84,1,51.63
27,Male,3.94,9.81,7.62,0.93,44,15,61.44,5,48.87
19,Female,9.15,7.86,4.64,1.76,62,0,81.01,1,89.33
22,Female,4.92,9.19,7.2,3.43,109,17,78,1,62.08
23,Male,6.15,4.03,3.76,5.9,8,6,55.62,3,42.74
22,Male,9.39,4.27,6.1,2.07,18,11,52.6,1,60.35
22,Male,4.93,9.14,1.87,5.16,108,6,44.32,8,56.24
22,Female,4.19,7.25,6.8,5.18,19,9,66.16,8,40.51
29,Female,8.99,8.54,2.82,1.89,71,5,71.07,7,58.24
19,Female,9.15,4.56,5.81,5.78,108,3,42.36,10,44.25
22,Female,3.87,5.44,2.58,0.34,15,0,64.11,4,27.87
24,Female,6.12,3.57,7.63,1.56,20,10,45.48,8,47.65
27,Male,9.66,9.27,1.53,3.13,29,3,44.51,2,76.18
27,Male,1.03,9.69,4.22,0.54,52,2,57.23,3,38.18
18,Female,0.88,9,3.16,4.83,0,1,71.21,5,49.51
21,Female,5.41,6.06,4.28,1.1,28,6,76.65,9,49.12
17,Male,3.27,5.39,1.85,5.42,30,16,73.86,2,47.36
28,Female,6.03,6.24,4.03,5.85,106,11,97.81,4,61.98
17,Female,7.38,7.46,1.05,4.41,97,4,53.57,2,65.75
21,Male,1.16,6.02,1.85,3.77,30,18,66.73,7,35.12
28,Female,8.88,5.95,5.38,3.51,46,19,70.06,7,66.92
29,Male,3.13,6.02,3.75,4.23,105,0,52.43,4,41.07
19,Female,4.12,8.21,3.98,5.29,82,2,54.79,6,54.17
20,Male,3.7,8.51,7.45,4.28,12,15,78.96,8,47.26
19,Female,8.48,9.09,1.72,4.78,103,13,91.5,1,67.32
17,Female,2.12,4.7,4.41,1.68,87,1,64.7,5,25.91
17,Male,0.77,4.1,4.25,4.96,111,0,75.38,4,21.57
28,Female,9.73,5.42,3.56,1.04,93,6,98.99,10,57.43
28,Female,9.82,5.94,6.64,0.17,62,19,86.62,6,82.33
29,Female,2.95,7.91,4.53,3.01,98,10,46.7,3,45.59
21,Male,0.59,8.31,6.56,2.55,12,11,99.97,7,52.88
22,Female,6.64,9.89,6.88,1.88,118,3,81.74,7,64.01
19,Male,6.66,5.65,0.57,1.01,2,15,49.52,3,38.32
28,Male,9.43,5.82,7.5,2.5,39,16,53.96,3,61.7
25,Male,3.34,6.79,6.11,4.35,104,0,80.42,7,47.74
21,Male,2.3,8.74,3.87,5.03,100,11,90.4,1,56.31
24,Female,6.36,7.63,6.56,2.13,63,16,71.22,2,56.61
29,Male,5.85,7.01,1.84,0.23,39,15,74.25,4,65.55
17,Male,7.32,7.54,6.56,1.03,10,3,51.75,8,66.91
21,Female,8.91,6.25,4.45,1.3,116,17,76.78,9,53.43
